,latitude,longitude,SFV(%),production - ISO (Wh),production - SFV (Wh),%?
parking_undistorted-0.jpg,40.45355916,-3.727043792,66.52699812,339407.158,302578.1983,-10.85096729
parking_undistorted-1.jpg,40.45356234,-3.727010204,64.9119812,339407.1706,300397.6707,-11.49342245
parking_undistorted-10.jpg,40.45356415,-3.726980648,64.49272452,339407.1719,300397.6705,-11.49342283
parking_undistorted-100.jpg,40.45356592,-3.726951784,25.15740955,339407.2064,257764.207,-24.05458632
parking_undistorted-103.jpg,40.45357295,-3.726861927,25.63014029,339407.2359,257764.2294,-24.0545863
parking_undistorted-105.jpg,40.45357858,-3.726802818,25.32184855,339407.2731,257764.2628,-24.05458478
parking_undistorted-109.jpg,40.4533206,-3.726539608,24.70200139,339407.465,256674.9832,-24.37556339
parking_undistorted-11.jpg,40.45331659,-3.726568019,63.54650988,339407.4492,299307.1864,-11.8147857
parking_undistorted-110.jpg,40.45331289,-3.726597734,25.64093552,339407.4318,257764.4079,-24.05457756
parking_undistorted-111.jpg,40.4533125,-3.726626953,31.1921953,339407.4097,264312.6246,-22.12526389
parking_undistorted-112.jpg,40.45330827,-3.726657261,36.59985339,339407.3882,269781.5355,-20.51394728
parking_undistorted-12.jpg,40.45330693,-3.726686112,62.66707504,339407.3888,298216.3493,-12.13616463
parking_undistorted-13.jpg,40.45330176,-3.72671172,59.21963025,339407.3763,294942.1413,-13.10084522
parking_undistorted-14.jpg,40.45329051,-3.726754445,54.46395397,339407.3753,289479.2014,-14.71039746
parking_undistorted-15.jpg,40.453278,-3.726721574,60.7133891,339407.3789,296033.7798,-12.77921512
parking_undistorted-16.jpg,40.4535867,-3.726711449,55.41845332,339407.3026,290572.0612,-14.38838853
parking_undistorted-17.jpg,40.45325312,-3.726720575,68.66872194,339407.3978,304757.5533,-10.20892435
parking_undistorted-18.jpg,40.45323462,-3.726720129,70.12005302,339407.403,306935.4425,-9.567251687
parking_undistorted-19.jpg,40.45317758,-3.726772252,70.19662385,339407.4105,306935.4516,-9.567251003
parking_undistorted-2.jpg,40.45359104,-3.726679653,64.78796156,339407.318,300397.8053,-11.49342122
parking_undistorted-20.jpg,40.45359473,-3.72664919,69.39576827,339407.3245,305846.6687,-9.888017536
