,latitude,longitude,SFV(%),production - ISO (Wh),production - SFV (Wh),%?
parking_undistorted-0.jpg,40.45355916,-3.727043792,66.52699812,1608.508515,1504.34962,-6.475495413
parking_undistorted-1.jpg,40.45356234,-3.727010204,64.9119812,1608.508647,1498.181322,-6.85898235
parking_undistorted-10.jpg,40.45356415,-3.726980648,64.49272452,1608.508661,1498.181337,-6.85898225
parking_undistorted-100.jpg,40.45356592,-3.726951784,25.15740955,1608.510013,1377.027316,-14.39112565
parking_undistorted-103.jpg,40.45357295,-3.726861927,25.63014029,1608.508605,1377.025855,-14.39114158
parking_undistorted-105.jpg,40.45357858,-3.726802818,25.32184855,1608.509224,1377.026499,-14.39113445
parking_undistorted-109.jpg,40.4533206,-3.726539608,24.70200139,1608.510703,1373.900637,-14.58554582
parking_undistorted-11.jpg,40.45331659,-3.726568019,63.54650988,1608.510691,1495.097515,-7.050818953
parking_undistorted-110.jpg,40.45331289,-3.726597734,25.64093552,1608.510679,1377.028029,-14.39111675
parking_undistorted-111.jpg,40.4533125,-3.726626953,31.1921953,1608.510663,1395.771492,-13.22584775
parking_undistorted-112.jpg,40.45330827,-3.726657261,36.59985339,1608.510651,1411.363031,-12.25653186
parking_undistorted-12.jpg,40.45330693,-3.726686112,62.66707504,1608.509465,1492.009246,-7.242743746
parking_undistorted-13.jpg,40.45330176,-3.72671172,59.21963025,1608.509769,1482.74178,-7.818913625
parking_undistorted-14.jpg,40.45329051,-3.726754445,54.46395397,1608.510502,1467.27404,-8.780574466
parking_undistorted-15.jpg,40.453278,-3.726721574,60.7133891,1608.510533,1485.832924,-7.626783075
parking_undistorted-16.jpg,40.4535867,-3.726711449,55.41845332,1608.508521,1470.36793,-8.588116838
parking_undistorted-17.jpg,40.45325312,-3.726720575,68.66872194,1608.510559,1510.515605,-6.092279183
parking_undistorted-18.jpg,40.45323462,-3.726720129,70.12005302,1608.510579,1516.675003,-5.709354816
parking_undistorted-19.jpg,40.45317758,-3.726772252,70.19662385,1608.51061,1516.675036,-5.709354547
parking_undistorted-2.jpg,40.45359104,-3.726679653,64.78796156,1608.509823,1498.182519,-6.858976047
parking_undistorted-20.jpg,40.45359473,-3.72664919,69.39576827,1608.510358,1513.595649,-5.900783203
parking_undistorted-21.jpg,40.45359195,-3.726603197,70.07837841,1608.510386,1516.674799,-5.70935617
